#label:RFC 1345 CHARACTER MNEMONIC TABLE
#url:https://tools.ietf.org/html/rfc1345#section-3
#sw:CHARACTER MNEMONIC TABLE
(y)	24b4
(z)	24b5
A-o	24b6
B-o	24b7
C-o	24b8
D-o	24b9
E-o	24ba
F-o	24bb
G-o	24bc
H-o	24bd
I-o	24be
J-o	24bf
K-o	24c0
L-o	24c1
M-o	24c2
N-o	24c3
O-o	24c4
P-o	24c5
Q-o	24c6
R-o	24c7
S-o	24c8
T-o	24c9
U-o	24ca
V-o	24cb
W-o	24cc
X-o	24cd
Y-o	24ce
Z-o	24cf
a-o	24d0
b-o	24d1
c-o	24d2
d-o	24d3
e-o	24d4
f-o	24d5
g-o	24d6
h-o	24d7
i-o	24d8
j-o	24d9
k-o	24da
l-o	24db
m-o	24dc
n-o	24dd
o-o	24de
p-o	24df
q-o	24e0
r-o	24e1
s-o	24e2
t-o	24e3
u-o	24e4
v-o	24e5
w-o	24e6
x-o	24e7
y-o	24e8
z-o	24e9
0-o	24ea
hh	2500
HH	2501
vv	2502
VV	2503
3-	2504
3_	2505
3!	2506
3/	2507
4-	2508
4_	2509
4!	250a
4/	250b
dr	250c
dR	250d
Dr	250e
DR	250f
dl	2510
dL	2511
Dl	2512
LD	2513
ur	2514
uR	2515
Ur	2516
UR	2517
ul	2518
uL	2519
Ul	251a
UL	251b
vr	251c
vR	251d
Udr	251e
uDr	251f
Vr	2520
UdR	2521
uDR	2522
VR	2523
vl	2524
vL	2525
Udl	2526
uDl	2527
Vl	2528
UdL	2529
uDL	252a
VL	252b
dh	252c
dLr	252d
dlR	252e
dH	252f
Dh	2530
DLr	2531
DlR	2532
DH	2533
uh	2534
uLr	2535
ulR	2536
uH	2537
Uh	2538
ULr	2539
UlR	253a
UH	253b
vh	253c
vLr	253d
vlR	253e
vH	253f
Udh	2540
uDh	2541
Vh	2542
UdLr	2543
UdlR	2544
uDLr	2545
uDlR	2546
UdH	2547
uDH	2548
VLr	2549
VlR	254a
VH	254b
FD	2571
BD	2572
TB	2580
LB	2584
FB	2588
lB	258c
RB	2590
.S	2591
:S	2592
?S	2593
fS	25a0
OS	25a1
RO	25a2
Rr	25a3
RF	25a4
RY	25a5
RH	25a6
RZ	25a7
RK	25a8
RX	25a9
sB	25aa
SR	25ac
Or	25ad
UT	25b2
uT	25b3
PR	25b6
Tr	25b7
Dt	25bc
dT	25bd
PL	25c0
Tl	25c1
Db	25c6
Dw	25c7
LZ	25ca
0m	25cb
0o	25ce
0M	25cf
0L	25d0
0R	25d1
Sn	25d8
Ic	25d9
Fd	25e2
Bd	25e3
*2	2605
*1	2606
TEL	260e
tel	260f
<H	261c
>H	261e
0u	263a
0U	263b
SU	263c
Fm	2640
Ml	2642
cS	2660
cH	2661
cD	2662
cC	2663
cS-	2664
cH-	2665
cD-	2666
cC-	2667
Md	2669
M8	266a
M2	266b
M16	266c
Mb	266d
Mx	266e
MX	266f
OK	2713
XX	2717
-X	2720
IS	3000
,_	3001
._	3002
+"	3003
+_	3004
*_	3005
;_	3006
0_	3007
<+	300a
>+	300b
<'	300c
>'	300d
<"	300e
>"	300f
("	3010
)"	3011
=T	3012
=_	3013
('	3014
)'	3015
(I	3016
)I	3017
-?	301c
=T:)	3020
A5	3041
a5	3042
I5	3043
i5	3044
U5	3045
u5	3046
E5	3047
e5	3048
O5	3049
o5	304a
ka	304b
ga	304c
ki	304d
gi	304e
ku	304f
gu	3050
ke	3051
ge	3052
ko	3053
go	3054
sa	3055
za	3056
si	3057
zi	3058
su	3059
zu	305a
se	305b
ze	305c
so	305d
zo	305e
ta	305f
da	3060
ti	3061
di	3062
tU	3063
tu	3064
du	3065
te	3066
de	3067
to	3068
do	3069
na	306a
ni	306b
nu	306c
ne	306d
no	306e
ha	306f
ba	3070
pa	3071
hi	3072
bi	3073
pi	3074
hu	3075
bu	3076
pu	3077
he	3078
be	3079
pe	307a
ho	307b
bo	307c
po	307d
ma	307e
mi	307f
mu	3080
me	3081
mo	3082
yA	3083
ya	3084
yU	3085
yu	3086
yO	3087
yo	3088
ra	3089
ri	308a
ru	308b
re	308c
ro	308d
wA	308e
wa	308f
wi	3090
we	3091
wo	3092
n5	3093
vu	3094
"5	309b
05	309c
*5	309d
+5	309e
a6	30a1
A6	30a2
i6	30a3
I6	30a4
u6	30a5
U6	30a6
e6	30a7
E6	30a8
o6	30a9
O6	30aa
Ka	30ab
Ga	30ac
Ki	30ad
Gi	30ae
Ku	30af
Gu	30b0
Ke	30b1
Ge	30b2
Ko	30b3
Go	30b4
Sa	30b5
Za	30b6
Si	30b7
Zi	30b8
Su	30b9
Zu	30ba
Se	30bb
Ze	30bc
So	30bd
Zo	30be
Ta	30bf
Da	30c0
Ti	30c1
Di	30c2
TU	30c3
Tu	30c4
Du	30c5
Te	30c6
De	30c7
To	30c8
Do	30c9
Na	30ca
Ni	30cb
Nu	30cc
Ne	30cd
No	30ce
Ha	30cf
Ba	30d0
Pa	30d1
Hi	30d2
Bi	30d3
Pi	30d4
Hu	30d5
Bu	30d6
Pu	30d7
He	30d8
Be	30d9
Pe	30da
Ho	30db
Bo	30dc
Po	30dd
Ma	30de
Mi	30df
Mu	30e0
Me	30e1
Mo	30e2
YA	30e3
Ya	30e4
YU	30e5
Yu	30e6
YO	30e7
Yo	30e8
Ra	30e9
Ri	30ea
Ru	30eb
Re	30ec
Ro	30ed
WA	30ee
Wa	30ef
Wi	30f0
We	30f1
Wo	30f2
N6	30f3
Vu	30f4
KA	30f5
KE	30f6
Va	30f7
Vi	30f8
Ve	30f9
Vo	30fa
.6	30fb
-6	30fc
*6	30fd
+6	30fe
b4	3105
p4	3106
m4	3107
f4	3108
d4	3109
t4	310a
n4	310b
l4	310c
g4	310d
k4	310e
h4	310f
j4	3110
q4	3111
x4	3112
zh	3113
ch	3114
sh	3115
r4	3116
z4	3117
c4	3118
s4	3119
a4	311a
o4	311b
e4	311c
eh4	311d
ai	311e
ei	311f
au	3120
ou	3121
an	3122
en	3123
aN	3124
eN	3125
er	3126
i4	3127
u4	3128
iu	3129
v4	312a
nG	312b
gn	312c
(JU)	321c
1c	3220
2c	3221
3c	3222
4c	3223
5c	3224
6c	3225
7c	3226
8c	3227
9c	3228
10c	3229
KSC	327f
ff	fb00
fi	fb01
fl	fb02
ffi	fb03
ffl	fb04
ft	fb05
st	fb06
3+;	fe7d
aM.	fe82
aH.	fe84
a+-	fe8d
a+.	fe8e
b+-	fe8f
b+,	fe90
b+;	fe91
b+.	fe92
tm-	fe93
tm.	fe94
t+-	fe95
t+,	fe96
t+;	fe97
t+.	fe98
tk-	fe99
tk,	fe9a
tk;	fe9b
tk.	fe9c
g+-	fe9d
g+,	fe9e
g+;	fe9f
g+.	fea0
hk-	fea1
hk,	fea2
hk;	fea3
hk.	fea4
x+-	fea5
x+,	fea6
x+;	fea7
x+.	fea8
d+-	fea9
d+.	feaa
dk-	feab
dk.	feac
r+-	fead
r+.	feae
z+-	feaf
z+.	feb0
s+-	feb1
s+,	feb2
s+;	feb3
s+.	feb4
sn-	feb5
sn,	feb6
sn;	feb7
sn.	feb8
c+-	feb9
c+,	feba
c+;	febb
c+.	febc
dd-	febd
dd,	febe
dd;	febf
dd.	fec0
tj-	fec1
tj,	fec2
tj;	fec3
tj.	fec4
zH-	fec5
zH,	fec6
zH;	fec7
zH.	fec8
e+-	fec9
e+,	feca
e+;	fecb
e+.	fecc
i+-	fecd
i+,	fece
i+;	fecf
i+.	fed0
f+-	fed1
f+,	fed2
f+;	fed3
f+.	fed4
q+-	fed5
q+,	fed6
q+;	fed7
q+.	fed8
k+-	fed9
k+,	feda
k+;	fedb
k+.	fedc
l+-	fedd
l+,	fede
l+;	fedf
l+.	fee0
m+-	fee1
m+,	fee2
m+;	fee3
m+.	fee4
n+-	fee5
n+,	fee6
n+;	fee7
n+.	fee8
h+-	fee9
h+,	feea
h+;	feeb
h+.	feec
w+-	feed
w+.	feee
j+-	feef
j+.	fef0
y+-	fef1
y+,	fef2
y+;	fef3
y+.	fef4
lM-	fef5
lM.	fef6
lH-	fef7
lH.	fef8
lh-	fef9
lh.	fefa
la-	fefb
la.	fefc
NU	0000
SH	0001
SX	0002
EX	0003
ET	0004
EQ	0005
AK	0006
BL	0007
BS	0008
HT	0009
LF	000a
VT	000b
FF	000c
CR	000d
SO	000e
SI	000f
DL	0010
D1	0011
D2	0012
D3	0013
D4	0014
NK	0015
SY	0016
EB	0017
CN	0018
EM	0019
SB	001a
EC	001b
FS	001c
GS	001d
RS	001e
US	001f
DT	007f
PA	0080
HO	0081
BH	0082
NH	0083
IN	0084
NL	0085
SA	0086
ES	0087
HS	0088
HJ	0089
VS	008a
PD	008b
PU	008c
RI	008d
S2	008e
S3	008f
DC	0090
P1	0091
P2	0092
TS	0093
CC	0094
MW	0095
SG	0096
EG	0097
SS	0098
GC	0099
SC	009a
CI	009b
ST	009c
OC	009d
PM	009e
AC	009f
/c	e001
UA	e002
UB	e003
"3	e004
"1	e005
"!	e006
"'	e007
">	e008
"?	e009
"-	e00a
"(	e00b
".	e00c
":	e00d
"0	e00e
""	e00f
"<	e010
",	e011
";	e012
"_	e013
"=	e014
"/	e015
"i	e016
"d	e017
"p	e018
;;	e019
,,	e01a
b3	e01b
Ci	e01c
f(	e01d
ed	e01e
am	e01f
pm	e020
Tel	e021
a+:	e022
Fl	e023
GF	e024
>V	e025
!*	e026
?*	e027
J<	e028
