UK-10099	U+F584	
UK-10100	U+F585	
UK-10101	U+F586	
UK-10102	U+F587	
UK-10103	U+F588	
UK-10104	U+F589	
UK-10105	U+F58A	
UK-10106	U+F58B	
UK-10107	U+F58C	
UK-10108	U+F58D	
UK-10109	U+F58E	
UK-10110	U+F58F	
UK-10111	U+F590	
UK-10112	U+F591	
UK-10113	U+F592	
UK-10114	U+F593	
UK-10115	U+F594	
UK-10116	U+F595	
UK-10117	U+F596	
UK-10118	U+F597	
UK-10119	U+F598	
UK-10120	U+F59A	
UK-10121	U+F59B	
UK-10122	U+F59C	
UK-10123	U+F59D	
UK-10124	U+F59E	
UK-10125	U+F5A0	
UK-10126	U+F5A1	
UK-10127	U+F5A2	
UK-10128	U+F5A3	
UK-10129	U+F5A4	
UK-10130	U+F5A5	
UK-10131	U+F5A6	
UK-10132	U+F5A7	
UK-10133	U+F5A9	
UK-10134	U+F5AA	
UK-10135	U+F5AB	
UK-10136	U+F5AC	
UK-10137	U+F5AE	
UK-10138	U+F5AF	
UK-10139	U+F5B0	
UK-10140	U+F740	
UK-10141	U+F741	
UK-10142	U+F742	
UK-10143	U+F743	
UK-10144	U+F744	
UK-10145	U+F745	
UK-10146	U+F746	
UK-10147	U+F747	
UK-10148	U+F748	
UK-10149	U+F749	
UK-10150	U+F74A	
UK-10151	U+F74B	
UK-10152	U+F74C	
UK-10153	U+F74D	
UK-10154	U+F74E	
UK-10155	U+F74F	
UK-10156	U+F751	
UK-10157	U+F752	
UK-10158	U+F753	
UK-10159	U+F754	
UK-10160	U+F755	
UK-10161	U+F756	
UK-10162	U+F757	
UK-10163	U+F758	
UK-10164	U+F759	
UK-10165	U+F75A	
UK-10166	U+F75B	
UK-10167	U+F75C	
UK-10168	U+F75D	
UK-10169	U+F75E	
UK-10170	U+F760	
UK-10171	U+F761	
UK-10172	U+F762	
UK-10173	U+F763	
UK-10174	U+F764	
UK-10175	U+F765	
UK-10176	U+F766	
UK-10177	U+F767	
UK-10178	U+F768	
UK-10179	U+F769	
UK-10180	U+F76A	
UK-10181	U+F76B	
UK-10182	U+F76C	
UK-10183	U+F76D	
UK-10184	U+F76E	
UK-10185	U+F76F	
UK-10186	U+F770	
UK-10187	U+F771	
UK-10188	U+F772	
UK-10189	U+F774	
UK-10190	U+F776	
UK-10191	U+F777	
UK-10192	U+F778	
UK-10193	U+F779	
UK-10194	U+F77A	
UK-10195	U+F77B	
UK-10196	U+F77C	
UK-10197	U+F77D	
UK-10198	U+F77E	
UK-10199	U+F77F	
UK-10200	U+F780	
UK-10201	U+F781	
UK-10202	U+F782	
UK-10203	U+F783	
UK-10204	U+F784	
UK-10205	U+F785	
UK-10206	U+F786	
UK-10207	U+F787	
UK-10208	U+F788	
UK-10209	U+F789	
UK-10210	U+F78A	
UK-10211	U+F78B	
UK-10212	U+F78C	
UK-10213	U+F78D	
UK-10214	U+F78E	
UK-10215	U+F790	
UK-10216	U+F791	
UK-10217	U+F792	
UK-10218	U+F793	
UK-10219	U+F794	
UK-10220	U+F795	
UK-10221	U+F796	
UK-10222	U+F797	
UK-10223	U+F798	
UK-10224	U+F799	
UK-10225	U+F79A	
UK-10226	U+F79B	
UK-10227	U+F79D	
UK-10228	U+F79F	
UK-10229	U+F7A0	
UK-10230	U+F7A1	
UK-10231	U+F7A2	
UK-10232	U+F7A3	
UK-10233	U+F7A5	
UK-10234	U+F7A6	
UK-10235	U+F7A7	
UK-10236	U+F7A8	
UK-10237	U+F7A9	
UK-10238	U+F7AA	
UK-10239	U+F7AB	
UK-10240	U+F7AC	
UK-10241	U+F7AD	
UK-10242	U+F7AE	
UK-10243	U+F7AF	
UK-10244	U+F7B0	
UK-10245	U+F7B1	
UK-10246	U+F7B2	
UK-10247	U+F7B3	
UK-10248	U+F7B4	
UK-10249	U+F7B5	
UK-10250	U+F7B6	
UK-10251	U+F7B7	
UK-10252	U+F7B8	
UK-10253	U+F7B9	
UK-10254	U+F7BA	
UK-10255	U+F7BB	
UK-10256	U+F7BC	
UK-10257	U+F7BD	
UK-10258	U+F7BE	
UK-10259	U+F7BF	
UK-10260	U+F7C0	
UK-10261	U+F7C1	
UK-10262	U+F7C2	
UK-10263	U+F7C3	
UK-10264	U+F7C5	
UK-10265	U+F7C6	
UK-10266	U+F7C7	
UK-10267	U+F7C8	
UK-10268	U+F7C9	
UK-10269	U+F7CA	
UK-10270	U+F7D5	
UK-10271	U+F7CB	
UK-10272	U+F7CE	
UK-10273	U+F7CF	
UK-10274	U+F7D0	
UK-10275	U+F7D1	
UK-10276	U+F7D3	
UK-10277	U+F7D4	
UK-10278	U+F7D2	
UK-10279	U+E5E6	
UK-10280	U+E5EA	
UK-10281	U+F4C6	
UK-10282	U+F4C7	
UK-10283	U+E58E	
UK-10284	U+E79F	
UK-10285	U+E79B	
UK-10286	U+E79A	
UK-10287	U+E79C	
UK-10288	U+E79E	
UK-10289	U+E7A0	
UK-10290	U+E79D	
UK-10291	U+E553	
UK-10292	U+E554	
UK-10293	U+E7A1	
UK-10294	U+E7A2	
UK-10295	U+E7A4	
UK-10296	U+E7A3	
UK-10297	U+F252	
UK-10298	U+E5EF	
UK-10299	U+E7C9	
UK-10300	U+E7CA	
UK-10301	U+E7D5	
UK-10302	U+E7D6	
UK-10303	U+E7DA	
UK-10304	U+E7DC	
UK-10305	U+E7DD	
UK-10306	U+E7DE	
UK-10307	U+E7DF	
UK-10308	U+E7E0	
UK-10309	U+E7E1	
UK-10310	U+E7E4	
UK-10311	U+E7E5	
UK-10312	U+F198	
UK-10313	U+E7E6	
UK-10314	U+E7E7	
UK-10315	U+E7E8	
UK-10316	U+E7E9	
UK-10317	U+E7EA	
UK-10318	U+E7EF	
UK-10319	U+E5DB	
UK-10320	U+E5F1	
UK-10321	U+E5F2	
UK-10322	U+E708	
UK-10323	U+E7B8	
UK-10324	U+E7B9	
UK-10325	U+E7BB	
UK-10326	U+E7BC	
UK-10327	U+E7BD	
UK-10328	U+E7BE	
UK-10329	U+E7BF	
UK-10330	U+E7C0	
UK-10331	U+E7C1	
UK-10332	U+E7C2	
UK-10333	U+E7C4	
UK-10334	U+E7C6	
UK-10335	U+E7C7	
UK-10336	U+E7BA	
UK-10337	U+E7C3	
UK-10338	U+E7C5	
UK-10339	U+E7C8	
UK-10340	U+E6D6	
UK-10341	U+E6D7	
UK-10342	U+E6D8	
UK-10343	U+E6D9	
UK-10344	U+E6DA	
UK-10345	U+E6DB	
UK-10346	U+E6DC	
UK-10347	U+EADB	
UK-10348	U+E6DD	
UK-10349	U+EAFC	
UK-10350	U+EAFA	
UK-10351	U+EADA	
UK-10352	U+EAFB	
UK-10353	U+EAD8	
UK-10354	U+E6DE	
UK-10355	U+E6DF	
UK-10356	U+E6E0	
UK-10357	U+E6E1	
UK-10358	U+E6E3	
UK-10359	U+E6E4	
UK-10360	U+E6E5	
UK-10361	U+E6E6	
UK-10362	U+F106	
UK-10363	U+F107	
UK-10364	U+F108	
UK-10365	U+E961	
UK-10366	U+E53B	
UK-10367	U+E7A9	
UK-10368	U+E7AA	
UK-10369	U+E7AB	
UK-10370	U+E7AC	
UK-10371	U+E7AD	
UK-10372	U+E7AE	
UK-10373	U+E7AF	
UK-10374	U+E7B0	
UK-10375	U+E7B1	
UK-10376	U+E7B2	
UK-10377	U+E7B3	
UK-10378	U+E7B4	
UK-10379	U+E7B7	
UK-10380	U+E8A0	
UK-10381	U+E8A1	
UK-10382	U+E8A2	
UK-10383	U+E8A3	
UK-10384	U+E8A4	42-06
UK-10385	U+E8A5	
UK-10386	U+E8A7	
UK-10387	U+E8A8	
UK-10388	U+E8A9	
UK-10389	U+E8AA	
UK-10390	U+E8AB	
UK-10391	U+E8AC	
UK-10392	U+E8AD	
UK-10393	U+E8AE	
UK-10394	U+E8B0	
UK-10395	U+E8B1	
