1-16-1	13-16-1
1-24-16	13-24-16
1-24-16	19-24-16
1-24-2	13-24-2
1-24-22	13-24-22
1-24-27	7-24-27
1-24-28	13-24-28
1-24-29	25-24-29
1-24-3	25-24-3
1-24-30	7-24-30
1-24-31	13-24-31
1-24-31	7-24-31
1-24-36	7-24-36
1-24-37	13-24-37
1-24-37	7-24-37
1-24-40	13-24-40
1-24-42	13-24-42
1-24-42	37-24-42
1-24-42	7-24-42
1-24-45	49-24-45
1-24-45	7-24-45
1-24-48	7-24-48
1-24-50	13-24-50
1-24-51	43-24-51
1-24-52	13-24-52
1-24-53	7-24-53
1-24-54	7-24-54
1-24-55	7-24-55
1-24-56	13-24-56
1-24-57	7-24-57
1-24-58	7-24-58
1-24-59	13-24-59
1-24-59	7-24-59
1-24-6	13-24-6
1-24-6	25-24-6
1-24-62	13-24-62
1-24-62	19-24-62
1-24-62	43-24-62
1-24-63	13-24-63
1-24-64	7-24-64
1-24-65	7-24-65
1-24-66	7-24-66
1-24-68	14-84-17
1-24-68	2-84-17
1-24-68	20-84-17
1-24-68	7-24-68
1-24-68	8-84-17
1-24-71	7-24-71
1-24-73	43-24-73
1-24-73	7-24-73
1-24-75	7-24-75
1-24-76	43-24-76
1-24-76	49-24-76
1-24-76	7-24-76
1-24-77	7-24-77
1-24-78	13-24-78
1-24-78	19-24-78
1-24-78	7-24-78
1-24-79	7-24-79
1-24-80	13-24-80
1-24-80	43-24-80
1-24-80	7-24-80
1-24-81	43-24-81
1-24-81	7-24-81
1-24-84	7-24-84
1-24-85	13-24-85
1-24-86	13-24-86
1-24-86	7-24-86
1-24-87	13-24-87
1-24-87	7-24-87
1-24-89	13-24-89
1-24-91	13-24-91
1-24-92	13-24-92
1-24-93	43-24-93
1-24-94	13-24-94
1-25-1	13-25-1
1-25-11	13-25-11
1-25-12	13-25-12
1-25-14	7-25-14
1-25-15	13-25-15
1-25-15	19-25-15
1-25-16	13-25-16
1-25-17	13-25-17
1-25-18	13-25-18
1-25-2	13-25-2
1-25-24	13-25-24
1-25-24	43-25-24
1-25-25	13-25-25
1-25-25	19-25-25
1-25-26	43-25-26
1-25-3	13-25-3
1-25-3	7-25-3
1-25-30	13-25-30
1-25-30	43-25-30
1-25-31	43-25-31
1-25-31	7-25-31
1-25-32	13-25-32
1-25-32	7-25-32
1-25-33	7-25-33
1-25-34	13-25-34
1-25-35	13-25-35
1-25-36	13-25-36
1-25-36	19-25-36
1-25-36	25-25-36
1-25-37	13-25-37
1-25-39	13-25-39
1-25-4	13-25-4
1-25-4	7-25-4
1-25-40	13-25-40
1-25-40	49-25-40
1-25-45	13-25-45
1-25-46	13-25-46
1-25-5	13-25-5
1-25-51	7-25-51
1-25-52	13-25-52
1-25-54	13-25-54
1-25-55	13-25-55
1-25-6	13-25-6
