1-16-1	13-16-1
1-48-43	1-48-50
1-48-43	43-48-50
1-48-43	7-48-43
1-48-43	7-48-50
1-48-44	7-48-44
1-48-45	7-48-45
1-48-46	13-48-46
1-48-47	13-48-47
1-48-48	25-48-48
1-48-48	7-48-48
1-48-49	7-48-49
1-48-50	13-48-50
1-48-50	43-48-50
1-48-50	7-48-50
1-48-51	7-48-51
1-48-52	7-48-52
1-48-53	7-48-53
1-48-54	13-48-54
1-48-56	13-48-56
1-48-58	13-48-58
1-48-58	37-48-58
1-48-59	25-48-59
1-48-64	7-48-64
1-48-65	13-48-65
1-48-66	1-51-27
1-48-66	1-53-49
1-48-66	1-54-89
1-48-66	1-65-68
1-48-66	3-13-63
1-48-66	43-51-27
1-48-66	7-48-66
1-48-66	7-53-49
1-48-66	7-54-89
1-48-66	7-65-68
1-48-67	25-48-67
1-48-69	13-48-69
1-48-69	19-48-69
1-48-69	7-48-69
1-48-72	7-48-72
1-48-75	7-48-75
1-48-76	43-48-76
1-48-77	13-48-77
1-48-78	13-48-78
1-48-79	13-48-79
1-48-79	7-48-79
1-48-80	13-48-80
1-48-80	7-48-80
1-48-81	7-48-81
1-48-82	7-48-82
1-48-83	13-48-83
1-48-83	7-48-83
1-48-84	13-48-84
1-48-84	7-48-84
1-48-85	7-48-85
1-48-86	7-48-86
1-48-87	7-48-87
1-48-89	31-48-89
1-48-90	7-48-90
1-48-91	25-48-91
1-48-92	7-48-92
1-48-93	13-48-93
1-48-93	7-48-93
1-48-94	13-48-94
1-48-94	7-48-94
1-49-1	13-49-1
1-49-1	7-49-1
1-49-10	7-49-10
1-49-11	7-49-11
1-49-12	7-49-12
1-49-13	7-49-13
1-49-14	19-49-14
1-49-15	7-49-15
1-49-16	7-49-16
1-49-17	13-49-17
1-49-17	7-49-17
1-49-18	7-49-18
1-49-19	7-49-19
1-49-2	7-49-2
1-49-20	13-49-20
1-49-20	7-49-20
1-49-22	7-49-22
1-49-23	43-49-23
1-49-23	7-49-23
1-49-24	7-49-24
1-49-25	13-49-25
1-49-25	7-49-25
1-49-27	43-49-27
1-49-27	49-49-27
1-49-27	7-49-27
1-49-28	13-49-28
1-49-28	19-49-28
1-49-28	7-49-28
1-49-29	7-49-29
1-49-3	7-49-3
1-49-30	7-49-30
1-49-31	7-49-31
1-49-32	7-49-32
1-49-33	7-49-33
1-49-34	13-49-34
1-49-34	7-49-34
1-49-35	7-49-35
1-49-36	13-49-36
1-49-36	7-49-36
1-49-37	7-49-37
1-49-38	13-49-38
1-49-38	7-49-38
1-49-39	13-49-39
1-49-39	19-49-39
1-49-4	13-49-4
1-49-4	7-49-4
1-49-40	13-49-40
1-49-40	37-49-40
1-49-40	43-49-40
1-49-40	7-49-40
1-49-41	13-49-41
1-49-41	7-49-41
1-49-42	13-49-42
1-49-42	19-49-42
1-49-42	7-49-42
1-49-43	7-49-43
1-49-44	13-49-44
1-49-44	19-49-44
1-49-44	7-49-44
1-49-45	13-49-45
1-49-45	7-49-45
1-49-46	7-49-46
1-49-47	7-49-47
1-49-48	7-49-48
1-49-49	37-49-49
1-49-49	7-49-49
1-49-5	7-49-5
1-49-50	7-49-50
1-49-51	7-49-51
1-49-52	7-49-52
1-49-53	13-49-53
1-49-53	7-49-53
1-49-54	7-49-54
1-49-55	7-49-55
1-49-56	7-49-56
1-49-57	13-49-57
1-49-57	7-49-57
1-49-58	43-49-58
1-49-58	7-49-58
1-49-59	7-49-59
1-49-6	7-49-6
1-49-60	19-49-60
1-49-60	37-49-60
1-49-60	7-49-60
1-49-61	7-49-61
1-49-62	7-49-62
1-49-63	7-49-63
1-49-64	7-49-64
1-49-65	7-49-65
1-49-66	7-49-66
1-49-67	7-49-67
1-49-68	37-49-68
1-49-68	43-49-68
1-49-68	7-49-68
1-49-69	13-49-69
1-49-69	7-49-69
1-49-70	7-49-70
1-49-71	7-49-71
1-49-72	7-49-72
1-49-73	7-49-73
1-49-74	13-49-74
1-49-74	25-49-74
1-49-74	37-49-74
1-49-74	43-49-74
1-49-75	13-49-75
1-49-75	19-49-75
1-49-76	7-49-76
1-49-77	19-49-77
1-49-77	31-49-77
1-49-77	43-49-77
1-49-77	7-49-77
1-49-78	13-49-78
1-49-78	43-49-78
1-49-78	7-49-78
1-49-79	7-49-79
1-49-8	7-49-8
1-49-80	7-49-80
1-49-81	7-49-81
1-49-82	13-49-82
1-49-82	19-49-82
1-49-82	7-49-82
1-49-83	7-49-83
1-49-84	13-49-84
1-49-84	7-49-84
1-49-85	19-49-85
1-49-85	7-49-85
1-49-86	13-49-86
1-49-86	19-49-86
1-49-86	43-49-86
1-49-86	7-49-86
1-49-87	7-49-87
1-49-88	7-49-88
1-49-89	13-49-89
1-49-89	25-49-89
1-49-89	43-49-89
1-49-89	7-49-89
1-49-9	13-49-9
1-49-9	7-49-9
1-49-90	7-49-90
1-49-91	7-49-91
1-49-93	13-49-93
1-49-93	7-49-93
1-49-94	43-49-94
1-49-94	7-49-94
1-50-1	43-50-1
1-50-1	7-50-1
1-50-11	13-50-11
1-50-11	43-50-11
1-50-12	13-50-12
1-50-13	13-50-13
1-50-13	19-50-13
1-50-15	13-50-15
1-50-16	13-50-16
1-50-16	25-50-16
1-50-17	13-50-17
1-50-18	13-50-18
1-50-19	13-50-19
1-50-19	7-50-19
1-50-2	7-50-2
1-50-20	19-50-20
1-50-20	7-50-20
1-50-21	7-50-21
1-50-22	13-50-22
1-50-23	13-50-23
1-50-23	7-50-23
1-50-24	13-50-24
1-50-24	19-50-24
1-50-24	43-50-24
1-50-24	7-50-24
1-50-28	13-50-28
1-50-29	13-50-29
1-50-3	19-50-3
1-50-3	2-82-81
1-50-3	43-50-3
1-50-3	7-50-3
1-50-3	8-82-81
1-50-31	19-50-31
1-50-32	13-50-32
1-50-33	13-50-33
1-50-33	19-50-33
1-50-34	7-50-34
1-50-36	13-50-36
1-50-37	19-50-37
1-50-39	43-50-39
1-50-4	13-50-4
1-50-4	7-50-4
1-50-40	13-50-40
1-50-41	13-50-41
1-50-42	13-50-42
1-50-45	7-50-45
1-50-48	13-50-48
1-50-49	13-50-49
1-50-49	7-50-49
1-50-53	13-50-53
1-50-55	13-50-55
1-50-56	7-50-56
1-50-57	13-50-57
1-50-57	19-50-57
1-50-58	13-50-58
1-50-58	43-50-58
1-50-59	13-50-59
1-50-59	19-50-59
1-50-59	25-50-59
1-50-59	43-50-59
1-50-60	13-50-60
1-50-60	43-50-60
1-50-61	13-50-61
1-50-61	19-50-61
1-50-62	13-50-62
1-50-65	13-50-65
1-50-68	13-50-68
1-50-69	13-50-69
1-50-7	43-50-7
1-50-70	3-34-17
1-50-70	9-34-17
1-50-71	13-50-71
1-50-72	13-50-72
1-50-75	13-50-75
1-50-75	25-50-75
1-50-76	13-50-76
1-50-77	13-50-77
1-50-78	13-50-78
1-50-79	7-50-79
1-50-8	13-50-8
1-50-8	19-50-8
1-50-81	37-50-81
1-50-81	7-50-81
1-50-83	13-50-83
1-50-84	7-50-84
1-50-85	7-50-85
1-50-86	19-50-86
1-50-86	7-50-86
1-50-87	13-50-87
1-50-87	25-50-87
1-50-87	43-50-87
1-50-87	7-50-87
1-50-88	13-50-88
1-50-88	19-50-88
1-50-88	7-50-88
1-50-89	7-50-89
1-50-90	25-50-90
1-50-90	7-50-90
1-50-91	13-50-91
1-50-91	7-50-91
1-50-92	43-50-92
1-51-1	13-51-1
1-51-1	25-51-1
1-51-1	7-51-1
1-51-11	1-54-2
1-51-11	7-54-2
1-51-12	13-51-12
1-51-14	13-51-14
1-51-17	13-51-17
1-51-19	19-51-19
1-51-2	13-51-2
1-51-2	19-51-2
1-51-21	13-51-21
1-51-22	13-51-22
1-51-27	43-51-27
1-51-28	13-51-28
1-51-3	13-51-3
1-51-31	19-51-31
1-51-32	13-51-32
1-51-36	13-51-36
1-51-36	7-51-36
1-51-39	19-51-39
1-51-4	13-51-4
1-51-40	19-51-40
1-51-42	7-51-42
1-51-43	13-51-43
1-51-44	13-51-44
1-51-45	19-51-45
1-51-45	7-51-45
1-51-49	13-51-49
1-51-50	13-51-50
1-51-55	13-51-55
1-51-56	7-51-56
1-51-57	7-51-57
1-51-58	31-51-58
1-51-59	13-51-59
1-51-6	13-51-6
1-51-60	13-51-60
1-51-61	13-51-61
1-51-62	13-51-62
1-51-62	7-51-62
1-51-65	1-56-19
1-51-65	13-51-65
1-51-65	13-56-19
1-51-65	43-51-65
1-51-66	7-51-66
1-51-69	13-51-69
1-51-69	43-51-69
1-51-69	7-51-69
1-51-70	13-51-70
1-51-76	13-51-76
1-51-76	7-51-76
1-51-78	7-51-78
1-51-81	7-51-81
1-51-85	7-51-85
1-51-88	7-51-88
1-51-89	7-51-89
1-51-90	7-51-90
1-51-91	7-51-91
1-51-92	19-51-92
1-51-92	7-51-92
1-51-93	19-51-93
1-51-93	43-51-93
1-51-93	7-51-93
1-51-94	13-51-94
1-51-94	7-51-94
1-52-1	13-52-1
1-52-1	7-52-1
1-52-11	13-52-11
1-52-11	19-52-11
1-52-11	7-52-11
1-52-12	13-52-12
1-52-15	13-52-15
1-52-18	7-52-18
1-52-19	7-52-19
1-52-2	1-65-59
1-52-2	43-52-2
1-52-2	7-52-2
1-52-2	7-65-59
1-52-20	13-52-20
1-52-20	43-52-20
1-52-20	7-52-20
1-52-21	13-52-21
1-52-21	7-52-21
1-52-23	13-52-23
1-52-23	43-52-23
1-52-24	25-52-24
1-52-25	13-52-25
1-52-28	13-52-28
1-52-28	37-52-28
1-52-29	13-52-29
1-52-3	13-52-3
1-52-30	13-52-30
1-52-32	13-52-32
1-52-37	13-52-37
1-52-37	19-52-37
1-52-38	13-52-38
1-52-38	19-52-38
1-52-39	13-52-39
1-52-4	13-52-4
1-52-40	13-52-40
1-52-42	7-52-42
1-52-43	7-52-43
1-52-44	13-52-44
1-52-45	13-52-45
1-52-46	7-52-46
1-52-48	13-52-48
1-52-5	7-52-5
1-52-50	13-52-50
1-52-56	7-52-56
1-52-6	13-52-6
1-52-60	7-52-60
1-52-61	13-52-61
1-52-64	1-53-68
1-52-64	25-53-68
1-52-64	3-6-68
1-52-64	31-53-68
1-52-64	37-53-68
1-52-64	43-53-68
1-52-64	7-53-68
1-52-65	13-52-65
1-52-65	19-52-65
1-52-72	13-52-72
1-52-73	13-52-73
1-52-74	13-52-74
1-52-79	13-52-79
1-52-8	13-52-8
1-52-83	37-52-83
1-52-86	13-52-86
1-52-86	7-52-86
1-52-87	25-52-87
1-52-9	13-52-9
1-53-1	13-53-1
1-53-1	43-53-1
1-53-10	7-53-10
1-53-11	13-53-11
1-53-11	25-53-11
1-53-13	13-53-13
1-53-13	7-53-13
1-53-14	13-53-14
1-53-15	13-53-15
1-53-24	7-53-24
1-53-25	13-53-25
1-53-28	13-53-28
1-53-28	25-53-28
1-53-28	31-53-28
1-53-28	7-53-28
1-53-33	7-53-33
1-53-34	43-53-34
1-53-38	13-53-38
1-53-39	13-53-39
1-53-4	31-53-4
1-53-40	13-53-40
1-53-45	7-53-45
1-53-47	7-53-47
1-53-48	13-53-48
1-53-48	31-53-48
1-53-49	7-53-49
1-53-5	13-53-5
1-53-51	7-53-51
1-53-52	13-53-52
1-53-53	7-53-53
1-53-58	13-53-58
1-53-59	13-53-59
1-53-6	13-53-6
1-53-61	7-53-61
1-53-65	13-53-65
1-53-65	19-53-65
1-53-66	19-53-66
1-53-67	13-53-67
1-53-67	19-53-67
1-53-67	7-53-67
1-53-68	25-53-68
1-53-68	31-53-68
1-53-68	37-53-68
1-53-68	43-53-68
1-53-68	7-53-68
1-53-71	7-53-71
1-53-72	19-53-72
1-53-72	25-53-72
1-53-72	7-53-72
1-53-76	7-53-76
1-53-78	19-53-78
1-53-78	7-53-78
1-53-8	7-53-8
1-53-80	13-53-80
1-53-81	7-53-81
1-53-82	13-53-82
1-53-82	7-53-82
1-53-83	13-53-83
1-53-83	7-53-83
1-53-85	19-53-85
1-53-85	7-53-85
1-53-86	13-53-86
1-53-86	7-53-86
1-53-87	19-53-87
1-53-87	25-53-87
1-53-9	13-53-9
1-53-9	7-53-9
1-53-90	13-53-90
1-53-92	7-53-92
1-53-94	25-53-94
1-54-10	7-54-10
1-54-11	43-54-11
1-54-11	7-54-11
1-54-14	13-54-14
1-54-14	7-54-14
1-54-15	13-54-15
1-54-15	19-54-15
1-54-17	25-54-17
1-54-17	31-54-17
1-54-17	43-54-17
1-54-17	7-54-17
1-54-18	43-54-18
1-54-18	7-54-18
1-54-2	13-54-2
1-54-2	7-54-2
1-54-21	13-54-21
1-54-21	19-54-21
1-54-21	7-54-21
1-54-22	19-54-22
1-54-23	7-54-23
1-54-25	7-54-25
1-54-26	43-54-26
1-54-26	7-54-26
1-54-27	7-54-27
1-54-28	13-54-28
1-54-28	25-54-28
1-54-28	7-54-28
1-54-29	13-54-29
1-54-29	7-54-29
1-54-30	7-54-30
1-54-31	13-54-31
1-54-31	43-54-31
1-54-31	49-54-31
1-54-32	7-54-32
1-54-34	7-54-34
1-54-35	25-54-35
1-54-36	19-54-36
1-54-36	7-54-36
1-54-37	31-54-37
1-54-39	31-54-39
1-54-39	43-54-39
1-54-39	7-54-39
1-54-4	25-54-4
1-54-4	7-54-4
1-54-40	7-54-40
1-54-41	37-54-41
1-54-42	7-54-42
1-54-44	7-54-44
1-54-45	13-54-45
1-54-46	13-54-46
1-54-47	13-54-47
1-54-49	13-54-49
1-54-50	19-54-50
1-54-50	25-54-50
1-54-50	31-54-50
1-54-52	13-54-52
1-54-52	19-54-52
1-54-53	37-54-53
1-54-58	7-54-58
1-54-58	95-117-141
1-54-6	7-54-6
1-54-61	13-54-61
1-54-66	13-54-66
1-54-67	37-54-67
1-54-68	13-54-68
1-54-69	13-54-69
1-54-71	13-54-71
1-54-76	13-54-76
1-54-78	43-54-78
1-54-78	55-54-78
1-54-83	13-54-83
1-54-84	13-54-84
1-54-85	13-54-85
1-54-86	7-54-86
1-54-89	7-54-89
1-54-9	7-54-9
1-54-90	13-54-90
1-54-90	7-54-90
1-54-91	13-54-91
1-54-92	13-54-92
1-54-92	19-54-92
1-54-93	13-54-93
1-55-11	13-55-11
1-55-12	7-55-12
1-55-13	13-55-13
1-55-14	19-55-14
1-55-16	13-55-16
1-55-16	19-55-16
1-55-18	13-55-18
1-55-18	7-55-18
1-55-19	7-55-19
1-55-20	7-55-20
1-55-21	7-55-21
1-55-22	43-55-22
1-55-22	7-55-22
1-55-24	19-55-24
1-55-27	13-55-27
1-55-28	7-55-28
1-55-29	19-55-29
1-55-30	13-55-30
1-55-30	37-55-30
1-55-30	7-55-30
1-55-31	7-55-31
1-55-32	43-55-32
1-55-33	19-55-33
1-55-33	43-55-33
1-55-33	7-55-33
1-55-34	7-55-34
1-55-38	37-55-38
1-55-38	7-55-38
1-55-39	7-55-39
1-55-4	13-55-4
1-55-4	43-55-4
1-55-4	7-55-4
1-55-41	13-55-41
1-55-41	19-55-41
1-55-41	7-55-41
1-55-42	7-55-42
1-55-45	7-55-45
1-55-46	13-55-46
1-55-47	13-55-47
1-55-5	7-55-5
1-55-50	13-55-50
1-55-56	13-55-56
1-55-59	13-55-59
1-55-6	25-55-6
1-55-60	13-55-60
1-55-64	13-55-64
1-55-64	19-55-64
1-55-65	13-55-65
1-55-66	19-55-66
1-55-66	7-55-66
1-55-67	13-55-67
1-55-67	7-55-67
1-55-69	13-55-69
1-55-69	7-55-69
1-55-70	25-55-70
1-55-75	19-55-75
1-55-76	43-55-76
1-55-76	7-55-76
1-55-81	7-55-81
1-55-82	19-55-82
1-55-83	13-55-83
1-55-83	19-55-83
1-55-83	25-55-83
1-55-83	43-55-83
1-55-83	7-55-83
1-55-86	13-55-86
1-55-86	19-55-86
1-55-87	13-55-87
1-55-87	7-55-87
1-55-89	7-55-89
1-55-9	13-55-9
1-55-92	7-55-92
1-55-93	7-55-93
1-55-94	43-55-94
1-55-94	7-55-94
1-56-1	19-56-1
1-56-1	25-56-1
1-56-1	7-56-1
1-56-10	7-56-10
1-56-11	13-56-11
1-56-11	7-56-11
1-56-12	7-56-12
1-56-13	7-56-13
1-56-14	7-56-14
1-56-15	13-56-15
1-56-15	7-56-15
1-56-16	19-56-16
1-56-16	43-56-16
1-56-16	7-56-16
1-56-17	13-56-17
1-56-17	7-56-17
1-56-18	43-56-18
1-56-18	7-56-18
1-56-19	13-56-19
1-56-2	7-56-2
1-56-20	19-56-20
1-56-21	13-56-21
1-56-21	7-56-21
1-56-22	13-56-22
1-56-23	13-56-23
1-56-23	37-56-23
1-56-24	7-56-24
1-56-25	7-56-25
1-56-26	7-56-26
1-56-27	7-56-27
1-56-28	7-56-28
1-56-29	7-56-29
1-56-3	7-56-3
1-56-30	7-56-30
1-56-31	13-56-31
1-56-31	7-56-31
1-56-32	13-56-32
1-56-32	7-56-32
1-56-33	13-56-33
1-56-33	7-56-33
1-56-34	7-56-34
1-56-35	7-56-35
1-56-36	13-56-36
1-56-36	7-56-36
1-56-37	13-56-37
1-56-37	7-56-37
1-56-38	7-56-38
1-56-39	13-56-39
1-56-39	7-56-39
1-56-4	13-56-4
1-56-4	25-56-4
1-56-4	43-56-4
1-56-40	7-56-40
1-56-41	7-56-41
1-56-42	7-56-42
1-56-43	13-56-43
1-56-43	19-56-43
1-56-43	7-56-43
1-56-44	7-56-44
1-56-45	13-56-45
1-56-46	7-56-46
1-56-47	13-56-47
1-56-47	7-56-47
1-56-49	7-56-49
1-56-5	13-56-5
1-56-50	7-56-50
1-56-51	7-56-51
1-56-52	7-56-52
1-56-53	7-56-53
1-56-54	13-56-54
1-56-54	7-56-54
1-56-55	13-56-55
1-56-55	7-56-55
1-56-56	13-56-56
1-56-56	7-56-56
1-56-57	7-56-57
1-56-58	7-56-58
1-56-59	7-56-59
1-56-60	13-56-60
1-56-60	7-56-60
1-56-61	7-56-61
1-56-62	7-56-62
1-56-63	7-56-63
1-56-64	7-56-64
1-56-65	13-56-65
1-56-65	43-56-65
1-56-65	7-56-65
1-56-66	7-56-66
1-56-67	7-56-67
1-56-69	13-56-69
1-56-69	7-56-69
1-56-7	19-56-7
1-56-70	13-56-70
1-56-70	7-56-70
1-56-71	7-56-71
1-56-72	7-56-72
1-56-73	7-56-73
1-56-74	7-56-74
1-56-75	7-56-75
1-56-76	7-56-76
1-56-77	7-56-77
1-56-78	25-56-78
1-56-79	7-56-79
1-56-8	7-56-8
1-56-80	7-56-80
1-56-81	7-56-81
1-56-82	7-56-82
1-56-83	13-56-83
1-56-83	7-56-83
1-56-84	7-56-84
1-56-85	13-56-85
1-56-85	7-56-85
1-56-86	13-56-86
1-56-86	7-56-86
1-56-87	13-56-87
1-56-87	7-56-87
1-56-88	7-56-88
1-56-89	7-56-89
1-56-9	13-56-9
1-56-9	25-56-9
1-56-9	7-56-9
1-56-90	7-56-90
1-56-91	13-56-91
1-56-91	7-56-91
1-56-92	7-56-92
1-56-93	7-56-93
1-56-94	7-56-94
1-57-1	7-57-1
1-57-10	7-57-10
1-57-11	7-57-11
1-57-12	7-57-12
1-57-13	7-57-13
1-57-14	7-57-14
1-57-15	13-57-15
1-57-15	7-57-15
1-57-16	13-57-16
1-57-16	7-57-16
1-57-17	13-57-17
1-57-17	7-57-17
1-57-18	7-57-18
1-57-19	19-57-19
1-57-19	7-57-19
1-57-2	7-57-2
1-57-20	7-57-20
1-57-21	7-57-21
1-57-22	19-57-22
1-57-22	43-57-22
1-57-22	7-57-22
1-57-23	7-57-23
1-57-24	13-57-24
1-57-24	7-57-24
1-57-25	7-57-25
1-57-26	7-57-26
1-57-27	7-57-27
1-57-28	13-57-28
1-57-28	7-57-28
1-57-29	13-57-29
1-57-29	19-57-29
1-57-29	7-57-29
1-57-3	7-57-3
1-57-30	7-57-30
1-57-31	25-57-31
1-57-31	61-57-31
1-57-31	7-57-31
1-57-32	13-57-32
1-57-32	7-57-32
1-57-33	13-57-33
1-57-33	19-57-33
1-57-34	7-57-34
1-57-35	7-57-35
1-57-36	13-57-36
1-57-37	13-57-37
1-57-38	13-57-38
1-57-38	43-57-38
1-57-38	7-57-38
1-57-39	7-57-39
1-57-4	7-57-4
1-57-40	7-57-40
1-57-41	7-57-41
1-57-42	43-57-42
1-57-42	7-57-42
1-57-43	13-57-43
1-57-43	43-57-43
1-57-43	7-57-43
1-57-44	13-57-44
1-57-44	7-57-44
1-57-45	13-57-45
1-57-45	7-57-45
1-57-46	13-57-46
1-57-46	7-57-46
1-57-47	13-57-47
1-57-48	13-57-48
1-57-5	7-57-5
1-57-52	7-57-52
1-57-53	13-57-53
1-57-53	19-57-53
1-57-55	13-57-55
1-57-55	19-57-55
1-57-55	31-57-55
1-57-55	7-57-55
1-57-56	13-57-56
1-57-56	19-57-56
1-57-56	7-57-56
1-57-57	13-57-57
1-57-57	31-57-57
1-57-57	43-57-57
1-57-59	13-57-59
1-57-6	13-57-6
1-57-6	7-57-6
1-57-60	13-57-60
1-57-62	7-57-62
1-57-63	13-57-63
1-57-64	13-57-64
1-57-67	13-57-67
1-57-67	43-57-67
1-57-68	13-57-68
1-57-68	43-57-68
1-57-69	13-57-69
1-57-7	13-57-7
1-57-7	7-57-7
1-57-70	55-57-70
1-57-70	7-57-70
1-57-71	2-55-47
1-57-71	7-57-71
1-57-72	7-57-72
1-57-73	7-57-73
1-57-74	7-57-74
1-57-75	7-57-75
1-57-76	13-57-76
1-57-76	7-57-76
1-57-77	13-57-77
1-57-77	7-57-77
1-57-78	13-57-78
1-57-78	19-57-78
1-57-78	7-57-78
1-57-79	7-57-79
1-57-8	7-57-8
1-57-80	7-57-80
1-57-81	13-57-81
1-57-81	7-57-81
1-57-82	13-57-82
1-57-82	7-57-82
1-57-83	43-57-83
1-57-85	7-57-85
1-57-86	13-57-86
1-57-86	7-57-86
1-57-87	7-57-87
1-57-88	13-57-88
1-57-88	7-57-88
1-57-89	7-57-89
1-57-9	7-57-9
1-57-90	13-57-90
1-57-90	7-57-90
1-57-91	13-57-91
1-57-91	7-57-91
1-57-92	7-57-92
1-57-93	7-57-93
1-57-94	13-57-94
1-57-94	7-57-94
1-58-1	7-58-1
1-58-10	7-58-10
1-58-11	7-58-11
1-58-12	7-58-12
1-58-13	37-58-13
1-58-13	7-58-13
1-58-15	25-58-15
1-58-15	7-58-15
1-58-16	19-58-16
1-58-16	7-58-16
1-58-17	43-58-17
1-58-17	7-58-17
1-58-18	7-58-18
1-58-19	13-58-19
1-58-19	7-58-19
1-58-2	13-58-2
1-58-2	7-58-2
1-58-20	13-58-20
1-58-20	7-58-20
1-58-21	13-58-21
1-58-21	7-58-21
1-58-22	13-58-22
1-58-22	25-58-22
1-58-22	7-58-22
1-58-23	7-58-23
1-58-24	7-58-24
1-58-25	13-58-25
1-58-25	7-58-25
1-58-26	7-58-26
1-58-27	13-58-27
1-58-27	7-58-27
1-58-28	5-42-47
1-58-28	7-58-28
1-58-29	13-58-29
1-58-29	7-58-29
1-58-3	43-58-3
1-58-3	7-58-3
1-58-30	7-58-30
1-58-31	7-58-31
1-58-32	19-58-32
1-58-32	7-58-32
1-58-33	7-58-33
1-58-34	13-58-34
1-58-34	7-58-34
1-58-35	13-58-35
1-58-37	13-58-37
1-58-4	13-58-4
1-58-4	7-58-4
1-58-40	13-58-40
1-58-42	13-58-42
1-58-46	13-58-46
1-58-47	7-58-47
1-58-48	7-58-48
1-58-5	13-58-5
1-58-5	7-58-5
1-58-51	7-58-51
1-58-52	13-58-52
1-58-54	13-58-54
1-58-55	13-58-55
1-58-57	13-58-57
1-58-6	7-58-6
1-58-63	13-58-63
1-58-63	19-58-63
1-58-63	25-58-63
1-58-63	7-58-63
1-58-67	13-58-67
1-58-7	7-58-7
1-58-70	13-58-70
1-58-72	43-58-72
1-58-72	7-58-72
1-58-73	19-58-73
1-58-75	13-58-75
1-58-8	13-58-8
1-58-8	7-58-8
1-58-81	7-58-81
1-58-88	7-58-88
1-58-89	37-58-89
1-58-9	13-58-9
1-58-9	37-58-9
1-58-9	7-58-9
1-58-91	19-58-91
1-58-91	7-58-91
1-58-94	13-58-94
1-58-94	43-58-94
1-58-94	7-58-94
1-59-10	7-59-10
1-59-11	7-59-11
1-59-12	7-59-12
1-59-13	13-59-13
1-59-15	13-59-15
1-59-17	13-59-17
1-59-17	7-59-17
1-59-18	7-59-18
1-59-19	7-59-19
1-59-20	13-59-20
1-59-20	7-59-20
1-59-21	13-59-21
1-59-21	7-59-21
1-59-22	7-59-22
1-59-23	7-59-23
1-59-24	7-59-24
1-59-25	7-59-25
1-59-26	7-59-26
1-59-27	13-59-27
1-59-27	7-59-27
1-59-28	7-59-28
1-59-29	13-59-29
1-59-29	7-59-29
1-59-3	7-59-3
1-59-30	7-59-30
1-59-31	13-59-31
1-59-31	7-59-31
1-59-32	13-59-32
1-59-32	49-59-32
1-59-32	7-59-32
1-59-33	7-59-33
1-59-34	13-59-34
1-59-34	7-59-34
1-59-35	13-59-35
1-59-35	19-59-35
1-59-35	7-59-35
1-59-37	13-59-37
1-59-37	7-59-37
1-59-38	43-59-38
1-59-38	7-59-38
1-59-39	7-59-39
1-59-4	13-59-4
1-59-40	7-59-40
1-59-41	13-59-41
1-59-41	7-59-41
1-59-42	7-59-42
1-59-43	19-59-43
1-59-43	7-59-43
1-59-44	7-59-44
1-59-45	7-59-45
1-59-46	13-59-46
1-59-46	7-59-46
1-59-47	7-59-47
1-59-48	13-59-48
1-59-48	7-59-48
1-59-49	7-59-49
1-59-5	13-59-5
1-59-50	7-59-50
1-59-51	7-59-51
1-59-52	13-59-52
1-59-52	7-59-52
1-59-53	43-59-53
1-59-53	7-59-53
1-59-54	13-59-54
1-59-54	7-59-54
1-59-55	7-59-55
1-59-56	43-59-56
1-59-56	7-59-56
1-59-57	7-59-57
1-59-58	13-59-58
1-59-6	7-59-6
1-59-60	1-60-52
1-59-60	1-62-75
1-59-60	13-59-60
1-59-60	43-60-52
1-59-60	7-62-75
1-59-61	13-59-61
1-59-62	13-59-62
1-59-62	43-59-62
1-59-63	7-59-63
1-59-64	7-59-64
1-59-65	49-59-65
1-59-65	7-59-65
1-59-66	13-59-66
1-59-68	25-59-68
1-59-68	7-59-68
1-59-69	13-59-69
1-59-71	13-59-71
1-59-72	13-59-72
1-59-73	13-59-73
1-59-74	7-59-74
1-59-75	13-59-75
1-59-76	13-59-76
1-59-77	13-59-77
1-59-8	7-59-8
1-59-80	13-59-80
1-59-80	19-59-80
1-59-83	13-59-83
1-59-84	13-59-84
1-59-84	19-59-84
1-59-86	13-59-86
1-59-87	13-59-87
1-59-89	13-59-89
1-59-89	31-59-89
1-59-9	7-59-9
1-59-90	13-59-90
1-59-93	7-59-93
1-59-94	13-59-94
1-59-94	7-59-94
1-60-15	13-60-15
1-60-16	13-60-16
1-60-19	7-60-19
1-60-20	13-60-20
1-60-20	7-60-20
1-60-21	13-60-21
1-60-21	19-60-21
1-60-22	13-60-22
1-60-22	31-60-22
1-60-22	7-60-22
1-60-25	13-60-25
1-60-25	43-60-25
1-60-25	7-60-25
1-60-26	7-60-26
1-60-28	7-60-28
1-60-30	7-60-30
1-60-31	13-60-31
1-60-32	13-60-32
1-60-36	13-60-36
1-60-36	7-60-36
1-60-37	7-60-37
1-60-39	43-60-39
1-60-39	7-60-39
1-60-40	13-60-40
1-60-40	7-60-40
1-60-41	13-60-41
1-60-41	7-60-41
1-60-42	13-60-42
1-60-43	13-60-43
1-60-45	13-60-45
1-60-46	13-60-46
1-60-46	25-60-46
1-60-47	19-60-47
1-60-47	7-60-47
1-60-48	19-60-48
1-60-48	43-60-48
1-60-48	7-60-48
1-60-49	7-60-49
1-60-5	7-60-5
1-60-50	13-60-50
1-60-50	7-60-50
1-60-51	13-60-51
1-60-51	37-60-51
1-60-51	7-60-51
1-60-52	13-60-52
